treatment_company,operator,age,azimuth,md,tvd,footage_lateral_length,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,poisson_ratio,toc,vcl,p-velocity,s-velocity,youngs_modulus,isip,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production
9,13,12,-66.629997,10939,6242.0,3884.0,11.84,7,0,35351.96,0.51,0.33,4.74,0.32,13664.56,6920.97,30.74,4582.0,81,15,4207985.0,0.77,374.9794312
3,1,6,-36.990002,12583,6540.0,5635.0,0.94,10,0,35186.69,0.43,0.33,4.72,0.59,13263.02,7033.37,31.11,5247.0,100,28,11292590.0,1.46,3006.496402
3,1,8,-50.880001,10306,6747.0,3289.0,18.09,15,0,34614.25,1.1,0.29,4.97,0.44,12290.63,6765.05,28.26,4875.0,99,16,6415504.0,1.27,1421.590873
10,14,11,-39.009998,12089,7010.0,4151.0,0.99,7,0,34559.0,0.43,0.33,4.67,0.59,13187.05,7005.78,31.07,4964.0,80,24,9062149.0,1.03,5008.133639
3,8,9,-44.869999,16485,6288.0,9829.0,1.01,6,447,28411.17,0.29,0.33,4.68,0.63,13203.24,6983.49,31.02,3866.0,83,31,18531036.0,1.04,1806.121456
8,6,10,-17.139999,13090,7609.0,5231.0,26.4,11,0,34679.94,0.42,0.22,3.5,0.53,11381.72,6802.82,27.87,5949.0,70,27,923116.0,0.1,4369.212418
10,4,6,-46.610001,16725,8080.0,8359.0,22.65,17,11321,34812.56,0.05,0.34,4.63,0.77,13109.57,6900.28,30.81,5598.0,99,43,19231664.0,1.38,2685.366122
10,11,9,-64.650002,10676,6212.0,3693.0,8.52,3,805,34833.35,0.56,0.34,4.75,0.4,13457.7,6923.45,30.79,4965.485373781148,70,18,7145773.0,1.11,580.0828363
10,11,11,-38.560001,11537,6046.0,4753.0,10.53,10,5957,34438.02,0.63,0.33,4.82,0.38,13487.06,6926.36,30.79,4137.0,70,23,10579448.0,1.13,624.3359115
4,5,6,-31.5,19040,6582.0,12076.0,21.27,14,6371,35007.5,1.29,0.34,3.91,1.9,12358.09,6491.03,29.78,4287.0,78,61,24678232.0,1.13,4525.876657
16,4,9,-33.905735419037036,20294,6709.0,12073.0,30.65,7,0,34735.75,0.26,0.33,4.68,0.61,13239.24,6958.72,30.94,4821.0,93,67,22615908.0,0.91,2641.927052
8,26,9,-54.639999,13573,8375.0,4772.0,0.8,15,5875,32806.21,0.36,0.32,5.42,0.87,13049.65,7129.99,32.29,6287.0,89,18,6452478.0,0.97,1006.170124
4,8,6,-32.23,14861,6708.0,7699.0,0.44,16,6483,34812.56,1.19,0.34,3.8,1.78,12479.36,6545.93,29.89,3918.0,95,36,14426403.0,1.42,2666.898878
12,9,10,-10.97,13286,9042.0,2886.0,14.7,17,7704,34321.42,0.88,0.28,4.27,0.47,11609.62,7062.74,31.54,6237.0,91,17,4394479.0,1.07,579.7260114
9,5,7,-17.780001,15138,6537.0,8351.0,235.06,3,0,34833.35,0.54,0.34,4.77,0.42,13442.71,6930.59,30.81,4134.0,77,41,16645460.0,1.1,2351.324257
10,14,11,-13.14,12888,7640.0,4276.0,15.23,7,4877,27583.7,0.67,0.28,3.41,0.54,11260.89,6774.56,28.99,6099.0,79,21,7993600.0,1.05,2431.609485
5,8,13,-38.299999,10100,7582.0,2124.0,9.71,8,8614,34634.34,1.24,0.32,4.93,0.97,12592.76,7452.02,32.84,5617.0,86,15,1130000.0,0.39,478.1745175
1,1,7,-47.060001,12760,7007.0,5457.0,6.47,12,6463,30777.96,1.2,0.31,4.72,0.45,12563.55,6759.34,28.8,4827.0,100,26,12057942.0,1.42,2929.769762
9,1,9,-51.0,12845,6719.0,5641.0,9.09,4,4695,29496.23,0.49,0.33,4.66,0.59,13170.5,7029.04,31.13,4704.0,89,9,9707983.0,1.65,1740.338768
16,4,9,-33.905735419037036,11691,6618.0,4408.0,209.38,5,0,30412.25,0.54,0.33,4.77,0.42,13442.71,6930.59,30.81,4792.0,100,24,7170483.0,0.93,1427.262603
10,4,6,-21.02,20820,7419.0,13151.0,9.4,12,0,30743.39,0.74,0.32,5.12,0.61,12533.34,7287.32,32.21,5497.0,99,16,7218224.0,1.37,1446.991484
2,20,12,-48.709999,14294,8710.0,5515.0,6.23,7,0,34770.3,0.68,0.27,4.01,0.59,11770.49,7086.21,31.53,5611.0,79,10,3571790.0,1.06,1490.614707
10,11,9,-14.27,11276,5915.0,5111.0,402.79,1,0,30254.81,0.05,0.33,4.66,0.67,13160.78,6912.23,30.8,4486.0,71,21,6148504.0,0.93,866.0650242
5,11,5,-25.459999,21514,6911.0,13344.0,6.18,23,10831,33446.01,0.63,0.33,4.82,0.38,13487.06,6926.36,30.79,4989.0,80,67,13353837.0,0.79,3575.037996
10,11,7,-43.73,11539,7571.0,3718.0,42.31,27,10759,34285.15,0.53,0.33,4.8,0.6,12688.94,7181.78,31.85,4739.0,70,19,5687669.0,1.1,1937.647336
1,1,7,-48.48,12667,6714.0,5529.0,10.64,3,2575,34564.91,0.59,0.34,4.56,0.31,13507.64,6877.28,30.66,4552.0,99,36,10940004.0,1.23,2943.45403
9,11,6,-31.870001,15970,6436.0,8935.0,2.69,8,0,35167.84,0.28,0.33,4.67,0.62,13186.82,7008.4,31.09,3857.0,83,45,13525335.0,0.93,1397.581639
8,2,12,-20.629999,14368,8116.0,5942.0,6.5,16,0,34781.88,1.94,0.2,5.14,0.76,11529.82,7142.4,29.66,5932.0,66,15,4249796.0,0.94,803.1606739
10,11,10,-38.16,12576,5992.0,6356.0,12.26,10,0,31360.51,0.62,0.34,4.85,0.46,13479.49,6980.1,30.95,4250.0,70,32,9562048.0,0.91,513.7811557
4,7,8,-47.959999,15445,5888.0,8680.0,204.77,1,3086,34285.5,0.26,0.33,4.58,0.57,13273.95,6900.74,30.76,4148.0,91,45,11832149.0,1.14,1268.545581
4,4,8,-36.02,12512,7742.0,4520.0,93.45,11,5916,35761.7,0.63,0.32,4.83,0.63,12601.6,7230.83,32.08,5789.0,101,30,7551342.0,0.99,2417.129505
13,15,13,-35.950001,11364,5459.0,5728.0,6.33,32,11479,33367.4,0.48,0.33,4.65,0.58,13183.12,7057.25,31.21,4965.485373781148,58,18,6078652.0,4.14,1012.636127
4,8,5,-43.18,15645,6981.0,8414.0,45.38,3,5652,32928.36,0.29,0.33,4.69,0.6,13275.93,6959.58,30.94,3670.0,95,41,20200290.0,1.44,3916.020999
12,25,10,-15.64,13785,9011.0,4524.0,23.12,10,0,35210.85,0.43,0.33,4.68,0.59,13202.61,7034.19,31.14,4650.0,89,30,12578710.0,1.17,2954.911826
7,11,12,-5.6999998,13239,8957.0,4080.0,14.09,4,986,34654.38,0.35,0.26,4.66,0.76,11840.69,7095.32,31.36,6693.0,69,11,1183859.0,0.5,944.0991953
3,5,6,-23.32,16109,6523.0,9269.0,1.51,5,3558,34702.96,0.56,0.34,4.75,0.51,13393.22,7013.81,31.07,4965.485373781148,77,46,18379536.0,1.19,3187.030361
5,11,5,-73.519997,14889,7543.0,5759.0,12.81,8,5377,33426.54,0.49,0.33,4.66,0.58,13167.66,7032.46,31.14,5217.0,92,30,5944860.0,0.87,2788.323309
12,7,11,-26.25,15447,8586.0,6725.0,56.61,1,0,30900.89,0.82,0.23,4.28,0.45,11732.57,7098.3,30.59,5963.0,85,45,28511624.0,2.97,3437.327277
10,4,9,-22.32,13776,6723.0,6498.0,9.99,14,5506,35330.63,0.49,0.33,4.66,0.58,13167.66,7032.46,31.14,4981.0,94,44,8745531.0,0.82,1178.496596
5,5,7,-30.540001,15034,7211.0,7373.0,125.83,1,3509,34679.94,1.24,0.34,4.1,1.78,12381.15,6475.55,29.72,5425.0,79,37,18819410.0,1.14,2446.118353
5,1,10,-48.080002,12056,6600.0,5087.0,2.88,19,3254,34897.14,0.5,0.21,4.42,0.49,13834.17,6796.6,26.13,4965.485373781148,102,10,6966623.0,1.61,1398.284682
4,1,10,-30.690001,14631,6661.0,7174.0,49.46,39,15667,34594.03,0.62,0.34,4.8,0.37,13485.15,6917.72,30.77,4876.0,101,17,11418378.0,1.39,2946.942466
1,26,11,-66.260002,12690,8355.0,3964.0,411.29,1,559,30823.23,0.24,0.33,5.1,0.92,12995.7,6968.18,31.52,5511.0,86,14,3234287.0,0.71,762.880662
10,11,12,-28.93,9556,6603.0,2752.0,238.9,2,7541,33937.75,0.45,0.34,4.72,0.58,13284.4,7002.64,31.05,4810.0,68,9,2660320.0,1.02,519.0145369
3,8,7,-54.330002,14852,6252.0,8076.0,68.71,7,6686,27167.79,0.29,0.33,4.68,0.62,13196.24,6988.52,31.04,3947.0,91,42,16770926.0,1.38,1703.10984
9,6,7,-28.969999,14175,7503.0,6422.0,433.59,1,0,34601.01,0.09,0.24,3.75,0.62,11154.73,6788.42,28.14,4933.0,99,49,20365232.0,1.89,4134.70943
1,8,9,-38.939999,18090,6729.0,10767.0,10.88,5,4096,34557.48,0.76,0.34,5.76,0.2,13697.88,6894.59,30.67,4985.0,89,37,21490254.0,1.07,1999.640558
7,11,11,-33.905735419037036,12642,8721.0,3682.0,3.52,5,3981,34692.64,0.96,0.29,4.29,0.7,11825.96,7089.98,31.87,6084.0,69,10,1024417.0,0.61,769.5577622
10,4,7,-32.900002,14022,8026.0,5746.0,4.99,20,8276,33955.08,0.04,0.34,4.55,0.75,13166.14,6859.29,30.66,5127.0,96,36,10663885.0,0.95,2220.562836
4,4,6,-54.459999,27797,7698.0,19849.0,19.62,9,4977,30173.22,0.67,0.32,5.04,0.56,12583.59,7251.96,32.06,5427.0,81,110,41950368.0,1.24,8230.697526
2,2,13,-34.16,11720,5933.0,5198.0,1.87,8,5327,34784.76,1.2,0.19,6.24,0.52,12169.78,7034.91,28.14,4401.0,80,14,5533929.0,1.33,864.0738852
5,11,7,-38.84,18523,6750.0,10165.0,26.14,7,6084,34788.79,0.69,0.33,4.51,0.39,13070.27,7149.38,31.44,4342.0,68,51,14891694.0,0.89,2802.056243
4,1,12,-24.940001,11610,6135.0,4796.0,5.71,5,2655,29564.69,0.72,0.2,4.37,0.57,12552.3,6799.15,26.18,4741.0,101,13,4610261.0,2.35,1096.842131
4,32,8,-50.490002,13782,6668.0,6831.0,6.21,5,0,31311.29,1.07,0.32,4.79,0.63,12759.83,7489.7,32.64,4798.0,100,45,12454948.0,0.91,1999.530331
3,5,8,-23.0,13185,6345.0,6463.0,17.12,6,0,35162.27,0.16,0.33,4.51,0.54,13356.46,6862.91,30.64,5169.0,71,33,10327993.0,0.98,2399.131083
16,4,8,-30.700001,12164,7413.0,3861.0,18.24,11,8461,35185.42,0.67,0.32,5.12,0.5,12604.33,7255.47,32.01,5709.0,101,29,6534035.0,0.92,1791.624863
12,25,6,-23.129999,12607,8241.0,3649.0,6.56,17,8389,33148.96,1.73,0.25,3.92,0.6,11490.13,6873.9,28.46,5555.0,92,22,9695312.0,1.35,1528.044578
1,8,8,-55.41,13693,6951.0,6134.0,15.88,12,4426,34661.95,0.47,0.33,4.68,0.59,13214.46,7040.7,31.16,4823.0,87,25,10848465.0,0.94,1862.166746
4,29,8,-56.970001,13446,6462.0,6502.0,21.51,11,6321,31658.89,0.81,0.32,4.8,0.43,12763.1,7491.14,32.68,4881.0,101,41,11967836.0,0.97,994.8978698
1,5,5,-34.389999,16403,6843.0,9052.0,33.67,11,3671,34719.56,0.68,0.29,5.08,0.4,13595.4,6955.35,30.83,4157.0,76,46,18375150.0,1.11,3286.239
9,17,10,-27.360001,11076,6297.0,4529.0,62.42,3,0,35163.15,0.85,0.26,5.14,0.43,13606.49,6773.59,26.98,3969.0,77,28,6194963.0,1.1,160.5409711
1,17,6,-42.849998,11061,6460.0,4351.0,35.42,9,5384,35313.66,0.8,0.26,5.16,0.45,13070.26,6774.33,27.23,4474.0,80,20,7008360.0,0.96,1619.358959
4,29,8,-43.189999,13446,6449.0,6663.0,40.74,5,0,30707.77,0.82,0.32,4.81,0.43,12763.71,7491.37,32.68,4893.0,101,42,12491281.0,0.95,1122.132455
27,13,12,-72.839996,11988,6603.0,4659.0,10.61,17,8517,34755.29,0.47,0.33,4.74,0.38,13639.37,6938.42,30.78,4088.0,72,17,5023849.0,0.94,551.7185592
12,4,6,-41.650002,14749,7888.0,6577.0,2.05,11,4138,33645.53,0.62,0.26,4.76,0.46,13487.45,6941.16,30.86,5297.0,91,34,18451698.0,1.45,2432.173196
10,6,12,-30.08,11790,6388.0,5121.0,186.89,27,7692,34805.43,1.2,0.26,5.29,0.82,11311.12,6762.98,26.49,4805.0,60,13,6707220.0,1.22,1991.387171
5,8,10,-13.9,17144,7796.0,8866.0,9.76,25,9750,34828.16,1.22,0.32,5.01,0.97,12615.97,7447.7,32.87,6028.0,75,61,12061615.0,0.86,1517.319511
2,2,13,-12.24,11150,6143.0,4775.0,11.69,13,7580,34789.16,1.39,0.23,6.86,0.41,11950.4,6903.88,27.54,4648.0,103,13,5665036.0,1.47,1305.191813
9,5,9,-33.905735419037036,15958,6974.0,8445.0,0.79,4,4865,32599.43,1.21,0.34,3.99,1.79,12436.2,6500.49,29.78,5174.0,79,43,9892973.0,0.86,2894.767864
2,20,11,-31.33,14491,7820.0,6551.0,9.42,4,4385,31208.55,0.77,0.24,4.38,0.5,11753.31,7071.57,30.68,4930.0,92,12,4457004.0,1.08,2036.607955
12,22,5,-49.200001,13688,6393.0,7045.0,7.09,22,7391,35147.34,0.63,0.34,4.92,0.45,13484.58,6959.23,30.88,4470.0,100,33,14376681.0,1.2,1414.675772
12,4,6,-55.700001,20109,8090.0,11769.0,3.96,10,4836,34505.65,0.31,0.34,4.37,0.75,13128.77,6790.14,30.43,5837.0,97,59,25379144.0,1.48,3177.482772
2,7,10,-26.559999,13995,8893.0,4519.0,56.15,6,4187,34966.92,0.43,0.25,4.57,0.57,11824.99,7094.5,30.98,5910.0,89,32,6924547.0,0.99,2370.777971
3,5,7,-26.83,15932,6433.0,9111.0,412.26,1,0,34642.75,0.59,0.33,5.06,0.45,13491.08,6981.19,30.93,4721.0,77,45,18419500.0,1.11,3662.732086
1,9,13,-29.190001,12810,6186.0,6332.0,0.2,8,0,34603.7,0.61,0.34,4.78,0.41,13483.44,6944.11,30.86,4685.0,75,21,7679182.0,1.14,541.0174495
4,7,8,-34.77,12398,6004.0,6144.0,12.31,16,9999,34355.73,0.56,0.25,4.5,0.28,13500.49,6877.83,30.66,4322.0,96,31,7960804.0,1.12,854.8747474
5,8,12,-65.910004,12710,7692.0,3984.0,2.61,16,3609,35056.46,0.31,0.33,4.68,0.62,13209.54,6988.75,31.03,5543.0,68,14,1912240.0,0.52,1067.098372
2,20,12,-32.43,16361,8115.0,7551.0,2.85,7,4433,34179.95,0.31,0.33,4.66,0.61,13182.77,7015.94,31.11,4688.0,71,14,5035624.0,1.16,1430.782642
12,25,6,-43.299999,14302,7792.0,5728.0,13.61,4,5061,33238.32,1.46,0.24,4.09,0.41,12253.81,6833.61,28.11,4982.0,92,30,13247430.0,1.33,2544.72524
1,8,9,-47.700001,16406,6746.0,8989.0,62.91,5,6392,34812.8,0.76,0.34,5.84,0.19,13705.78,6889.98,30.66,5226.0,89,45,22436272.0,1.11,1906.698513
10,6,12,-20.610001,13604,7081.0,6131.0,2.46,6,0,33906.68,0.29,0.3,4.68,0.63,13203.24,6983.49,31.02,5789.0,66,10,5928000.0,1.01,3637.277515
5,22,5,-33.905735419037036,15800,5531.0,9548.0,26.47,2,0,34594.44,0.57,0.31,4.78,0.41,13453.74,6927.45,30.8,4243.0,100,52,22962160.0,1.07,1641.541498
10,2,6,-24.02,15414,6014.0,8714.0,2.66,8,0,31358.18,1.35,0.2,6.55,0.48,11999.03,7000.87,28.07,4965.485373781148,95,41,19001292.0,2.32,1438.824444
1,20,13,-19.18,14578,8018.0,5342.0,10.65,7,0,34686.45,1.01,0.29,6.05,0.42,11698.26,7030.24,31.56,5817.0,77,14,2878200.0,0.86,1116.070072
1,1,7,-39.400002,11890,6357.0,5324.0,0.03,5,3197,34998.16,0.31,0.33,4.69,0.59,13269.06,6960.49,30.94,4564.0,100,35,10472455.0,1.24,2091.234148
3,4,6,-54.0,13611,7869.0,5534.0,27.65,12,6011,35200.81,0.51,0.33,4.83,0.44,13600.97,6956.52,30.83,5399.0,90,36,12607232.0,1.08,1575.091143
1,20,12,-33.080002,15837,8309.0,7159.0,136.92,3,0,34724.5,0.47,0.34,4.618651685393258,0.57,13168.79,7058.84,31.22,4965.485373781148,85,13,6206248.0,1.25,1348.528035
12,17,9,-41.939999,11718,7505.0,3808.0,5.92,8,0,35143.87,-0.03,0.24,2.13,0.65,11310.81,6796.93,28.38,5884.0,80,15,176096.0,0.03,2984.432968
5,18,10,-57.580002,12142,7643.0,3412.0,4.94,2,0,34897.14,0.98,0.35,5.19,0.76,11854.79,6380.47,29.36,5455.0,88,12,7413904.0,1.19,453.0311826
11,6,11,-28.290001,13817,7358.0,6072.0,4.69,24,0,34849.93,0.27,0.33,4.68,0.63,13220.38,6970.94,30.98,4250.0,97,17,7530441.0,1.29,3628.845098
4,1,9,-31.52,13005,6367.0,6089.0,0.11,10,5662,34842.89,0.29,0.33,4.68,0.63,13203.24,6983.49,31.02,5066.0,99,17,11351437.0,1.66,1461.046372
10,6,11,-34.119999,12627,6350.0,6166.0,63.65,4,0,35339.0,0.36,0.22,4.98,0.36,12907.62,6790.75,26.88,4508.0,91,13,7164159.0,1.29,1498.904494
15,12,9,-48.889999,14761,7893.0,6407.0,6.97,8,3661,34111.76,0.75,0.34,4.61,0.61,12749.47,6652.92,29.96,5821.0,80,29,9144740.0,1.23,1188.713132
7,11,11,-47.82,12895,8831.0,3114.0,7.92,13,4617,34049.57,0.26,0.26,4.42,0.71,11849.72,7095.87,31.31,5815.0,69,9,1057977.0,0.75,823.0556071
11,6,12,-27.120001,12077,5394.0,6059.0,472.98,1,7929,33723.09,0.55,0.34,4.71,0.38,13462.05,6905.12,30.74,3984.0,70,11,6730460.0,0.98,1275.48471
4,14,6,-0.54000002,13763,7424.0,5113.0,8.53,4,4051,34617.18,0.8,0.28,4.23,0.51,11305.23,6772.43,28.9,5731.0,108,28,13781403.0,1.03,3092.074435
9,11,6,-51.27,16719,6924.0,8919.0,2.17,13,0,34773.26,0.52,0.33,4.73,0.51,13400.65,6960.89,30.93,3917.0,70,44,13226897.0,0.97,4326.024442
1,5,6,-25.959999,15769,6419.0,8933.0,0.77,4,0,31059.16,1.28,0.34,3.87,1.89,12378.58,6502.64,29.8,4538.0,73,46,18526510.0,1.14,3254.416256
1,5,6,-16.200001,21144,6515.0,13959.0,436.53,1,4540,34673.18,0.65,0.33,5.14,0.4,13591.62,6954.28,30.84,3753.0,73,70,25153120.0,1.15,3058.949337
10,11,10,-51.509998,11050,7565.0,3211.0,4.28,4,5462,35273.14,0.42,0.33,4.61,0.58,13031.53,7065.54,31.3,5302.0,70,15,6054945.0,1.16,1182.054789
16,12,10,-57.009998,15420,7901.0,7135.0,13.75,24,10337,34589.6,0.76,0.34,4.69,0.6,12652.54,6637.96,29.9,6444.0,82,29,11388714.0,1.37,1997.615956
8,4,10,-41.259998,12994,6946.0,5798.0,704.57,1,8261,34601.01,0.72,0.34,3.88,1.03,12670.27,6671.82,30.15,5019.0,80,20,8160030.0,1.16,436.6747577
1,20,12,-28.5,15965,8292.0,7348.0,6.24,24,363,34774.38,0.43,0.34,4.68,0.58,13182.01,7011.47,31.09,5892.0,85,13,6197810.0,1.27,1577.474859
1,26,11,-58.32,13011,8224.0,4547.0,246.03,2,1365,35185.98,1.14,0.32,5.61,0.85,12753.58,7385.87,32.85,5484.0,87,12,3435108.0,0.8,938.7745778
10,6,13,-34.25,13110,6460.0,6466.0,227.53,1,0,30925.95,0.42,0.22,4.618651685393258,0.42,12420.31,6793.69,26.96,4348.0,73,10,7247106.0,1.43,1105.120556
2,6,10,-25.860001,14825,8781.0,5856.0,1.03,12,2871,34761.52,1.15,0.22,4.11,0.66,11894.91,6797.43,27.29,5336.0,77,33,7740896.0,1.32,3012.855192
8,6,10,-17.389999,12182,7679.0,4191.0,4.13,12,604,34675.16,1.07,0.21,3.97,0.45,11248.15,6809.53,27.65,5509.0,98,23,7248202.0,1.41,2867.646563
3,5,8,-32.27,14010,6366.0,7394.0,0.77,24,0,34775.43,1.32,0.34,3.87,1.93,12338.62,6491.62,29.79,5259.0,73,36,11598425.0,1.0,2764.860535
4,1,12,-55.099998,10517,6095.0,3876.0,397.81,1,4874,30192.8,0.57,0.21,4.77,0.42,13241.03,6795.9,26.52,4435.0,100,10,3368945.0,0.81,2002.704658
10,4,11,-53.419998,13570,7980.0,5156.0,1.12,12,1560,34732.38,0.04,0.34,4.66,0.83,13013.93,6892.1,30.81,5559.0,76,21,6596814.0,0.8,1238.255076
12,7,10,-33.905735419037036,15495,8967.0,5802.0,524.53,1,0,34594.03,0.47,0.25,4.51,0.54,11815.87,7095.13,30.91,4965.485373781148,86,39,8451363.0,1.07,2939.61588
2,7,8,-47.389999,15385,6392.0,8612.0,2.37,15,10440,35280.36,0.21,0.33,4.54,0.56,13314.84,6902.56,30.76,4965.485373781148,95,45,13223862.0,1.16,1217.07007
8,26,8,-25.299999,16251,8238.0,7088.0,49.76,5,3885,35313.77,0.42,0.34,4.84,0.72,12587.52,6702.29,30.14,5874.0,89,22,10361744.0,1.04,1174.732506
4,14,5,-33.905735419037036,20741,6555.0,13641.0,0.85,16,10053,35169.1,0.06,0.33,4.61,0.73,13169.32,6894.85,30.77,5104.0,108,71,33633268.0,1.2,8880.671151
9,16,9,-33.905735419037036,14810,6668.0,7892.0,3.87,24,0,34603.7,1.13,0.34,3.77,1.7,12525.05,6570.95,29.94,4870.0,75,37,6695598.0,0.64,2077.228193
9,1,9,-67.879997,12370,7300.0,4455.0,4.47,9,0,34604.57,0.44,0.34,3.61,0.51,13129.16,6699.63,30.19,5009.0,101,16,7985465.0,1.65,1310.394358
8,6,10,-24.33,14359,8670.0,5439.0,27.46,14,6116,28353.2,1.16,0.21,2.93,0.45,11819.01,6816.48,28.0,5823.0,93,16,6241473.0,1.27,3014.682988
9,11,6,-22.309999,15295,7126.0,7742.0,600.19,1,5374,34320.13,0.72,0.33,4.86,0.27,12764.71,7227.46,31.79,5210.0,70,39,11686438.0,1.03,3239.216718
5,18,9,-57.66,18831,7101.0,10642.0,39.44,11,5907,28402.75,0.47,0.33,4.74,0.58,13276.99,7023.14,31.09,4402.0,90,37,14391513.0,1.11,2805.410359
2,7,8,-33.905735419037036,14165,6407.0,7735.0,9.45,16,9039,35326.04,0.37,0.33,4.61,0.57,13213.26,6968.03,30.95,4020.0,95,41,12056189.0,1.2,1299.256084
2,6,10,-24.940001,16580,7499.0,8738.0,12.76,7,0,34559.0,0.57,0.33,4.63,0.35,13484.98,6906.2,30.74,5415.0,95,37,12877900.0,1.39,4805.400412
12,25,7,-37.650002,18129,8939.0,8940.0,3.02,8,4088,32170.72,1.73,0.25,4.0,0.65,11518.81,6848.73,28.2,5566.0,87,52,22975888.0,1.36,3265.787761
2,20,12,-36.720001,16690,9067.0,7471.0,6.46,16,7212,34250.42,0.27,0.25,4.57,0.66,11857.84,7098.6,31.1,6498.0,73,14,4764219.0,0.74,1830.203588
12,9,11,-25.23,13639,8442.0,4888.0,30.32,3,2829,34579.27,0.91,0.29,4.51,0.49,11650.92,7065.54,31.66,6507.0,90,25,7399600.0,1.09,534.7422141
9,14,11,-30.030001,9104,6958.0,1713.0,33.74,11,5571,34521.71,0.14,0.24,4.98,0.54,11633.39,6785.25,27.69,5065.0,84,11,4184888.0,1.12,2181.872394
23,11,11,-49.009998,11017,6598.0,3873.0,535.51,1,6201,34350.94,0.44,0.33,4.8,0.63,13303.38,7099.04,31.24,3745.0,70,18,5267722.0,0.96,643.7378028
3,5,9,-21.139999,11929,6385.0,5250.0,8.92,10,5340,33268.28,0.47,0.33,4.64,0.57,13179.22,7054.25,31.2,4811.0,71,26,6172899.0,0.89,1314.506309
9,6,7,-29.92,15289,8165.0,6874.0,49.96,1,0,35200.81,0.6,0.22,2.86,0.52,11800.99,6807.22,28.09,5847.0,98,26,10284680.0,1.76,3193.663828
8,11,8,-36.91,13160,8731.0,4082.0,159.18,14,3616,33915.34,0.71,0.23,4.46,0.49,11953.71,7115.81,30.65,4970.0,67,21,6213921.0,2.97,922.6705348
9,14,8,-32.369999,11210,6595.0,4365.0,0.43,18,8370,33492.45,0.65,0.26,5.12,0.54,11958.81,6776.77,27.72,4965.485373781148,82,21,7980328.0,1.06,4620.614934
7,11,10,-18.32,15187,9102.0,5963.0,12.93,8,0,34906.12,0.31,0.25,4.57,0.63,11850.62,7098.2,31.07,6302.0,71,30,3424036.0,1.01,2516.04819
8,4,12,-33.905735419037036,12540,6575.0,5508.0,2.34,19,7815,33131.2,0.29,0.33,4.68,0.62,13196.24,6988.52,31.04,4528.0,83,18,7514996.0,1.12,662.9539522
4,4,9,-31.35,16947,7676.0,8744.0,30.58,5,438,29852.84,0.06,0.34,4.71,0.83,12969.47,6927.79,30.95,6189.0,100,59,14618668.0,0.92,2650.049533
10,16,6,-34.349998,13736,6600.0,6499.0,307.42,1,484,34589.6,0.55,0.34,4.71,0.38,13462.05,6905.12,30.74,3833.0,80,33,6979454.0,0.71,1587.049327
12,25,9,-44.189999,10270,6263.0,3812.0,4.9,12,0,35210.29,0.54,0.21,4.75,0.41,13452.27,6795.38,26.47,4432.0,91,24,10301531.0,1.27,1541.862095
12,4,6,9.9799995,15160,7743.0,7167.0,0.78,10,0,34610.82,0.45,0.33,4.73,0.6,13262.2,7026.82,31.1,4965.485373781148,98,19,7609006.0,1.25,1495.562704
2,6,9,-26.23,11955,7269.0,4436.0,4.86,7,0,34774.38,0.12,0.24,4.52,0.57,11361.81,6789.11,27.81,4965.485373781148,99,20,8896262.0,1.55,3785.863215
10,11,11,-54.5,10323,6571.0,3489.0,16.04,24,0,34782.05,0.43,0.33,4.75,0.46,13188.1,7182.15,31.45,4171.0,70,17,5071552.0,0.96,518.5701859
8,23,13,-40.880001,11000,6217.0,4663.0,20.66,1,1791,32718.75,0.39,0.33,4.72,0.58,13268.2,7001.02,31.04,4567.0,79,19,5590514.0,1.07,245.2246417
7,11,11,-46.360001,12800,9022.0,2654.0,1.29,31,14985,35039.79,0.56,0.26,4.84,0.8,11836.17,7093.81,31.41,6194.0,68,9,1358721.0,0.55,555.4331335
8,1,11,-33.905735419037036,15111,6318.0,8372.0,41.96,15,10042,33923.5,0.26,0.33,4.78,0.52,13552.73,6998.7,30.93,4965.485373781148,78,32,11923180.0,1.24,1107.986767
12,25,10,-13.13,13620,7745.0,5536.0,31.27,4,0,30102.8,0.3,0.26,2.4,0.6,11131.11,6782.47,28.77,5866.0,86,30,8991503.0,0.84,1038.619181
1,20,13,-47.549999,13948,8123.0,5553.0,4.89,9,3073,34653.08,1.0,0.29,5.95,0.44,11644.36,7034.93,31.58,6067.0,84,14,4933661.0,1.31,1203.425998
10,4,9,-57.98,12350,6634.0,5466.0,65.03,2,5024,34805.43,0.56,0.33,4.79,0.42,13451.81,6932.67,30.82,4940.0,98,24,7147026.0,0.89,1397.143066
3,5,8,-28.23,17275,6408.0,10598.0,22.69,7,3927,34634.34,1.16,0.34,3.74,1.71,12509.37,6576.96,29.96,4922.0,72,71,15349165.0,0.91,2901.399644
1,11,8,-11.23,13591,7599.0,4759.0,5.1,6,0,32095.76,0.57,0.33,4.63,0.46,12889.83,7136.86,31.54,5295.0,70,24,4731106.0,1.41,1397.743905
17,16,7,-1.1,16188,7040.0,8898.0,29.11,7,4437,27888.26,1.05,0.34,3.82,1.63,12585.78,6570.42,29.93,4284.0,80,43,4863200.0,0.94,1720.426026
