treatment_company,operator,age,azimuth,md,tvd,footage_lateral_length,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,poisson_ratio,toc,vcl,p-velocity,s-velocity,youngs_modulus,isip,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production
5,16,8,-40.669998,11816,6936.0,4630.0,9.37,20,10228,35258.45,0.99,0.34,3.81,1.56,12622.5,6581.19,29.95,4860.0,78,23,4160750.0,0.73,1213.243506
7,6,10,-25.700001,13779,8487.0,5052.0,12.24,2,2791,34538.91,1.3,0.21,2.88,0.45,11969.87,6822.7,28.03,5271.0,81,27,9445394.0,1.29,4185.294342
1,17,6,-13.22,11845,6538.0,4935.0,190.95,2,530,30847.96,0.78,0.26,5.16,0.45,13061.34,6774.88,27.22,4374.0,80,25,8834125.0,0.95,1999.76295
5,18,9,-39.77,16773,7024.0,8725.0,24.95,7,5825,31925.1,0.46,0.33,4.69,0.59,13229.9,7035.71,31.14,5062.0,93,38,8670911.0,0.99,1959.238946
12,4,6,-41.130001,18644,7949.0,10445.0,83.05,3,4386,33220.79,0.23,0.34,4.38,0.66,13292.28,6827.72,30.54,5471.0,99,53,23217020.0,1.43,4360.228367
4,4,9,-29.66,13722,7867.0,5559.0,8.74,8,1235,35185.98,0.18,0.33,4.82,0.84,12864.27,7008.96,31.34,5938.0,89,39,9530856.0,0.84,1855.806584
12,19,10,-59.740002,12646,5897.0,6317.0,7.15,3,2969,34228.79,0.56,0.33,4.76,0.41,13455.52,6921.39,30.79,3995.0,79,22,7561729.0,0.92,719.9502925
1,20,13,-30.219999,14390,8012.0,6050.0,4.56,11,6588,34112.47,1.0,0.29,6.08,0.42,11723.42,7030.38,31.58,5964.0,80,16,5624710.0,1.23,1389.36745
1,20,13,-45.759998,13014,8048.0,4581.0,23.2,5,3745,34899.94,0.99,0.3,6.43,0.36,12322.49,7021.94,31.62,4965.485373781148,93,19,8046568.0,1.55,792.3838722
8,4,11,-27.120001,11315,6783.0,4064.0,12.36,10,0,35230.46,0.5,0.34,4.02,0.51,12738.09,6708.98,30.23,4829.0,82,15,5885261.0,1.08,344.0395618
11,6,10,-15.51,14458,7619.0,6759.0,12.96,5,4029,33437.86,0.92,0.23,4.36,0.72,11627.02,6782.17,26.97,6105.0,79,10,8512240.0,1.35,2944.130214
3,5,8,-11.8,14376,6817.0,7023.0,34.88,7,5106,32719.34,1.32,0.34,3.93,1.93,12309.91,6475.37,29.75,4991.0,75,35,10709935.0,0.91,1736.79381
9,6,6,-9.0600004,12768,7530.0,4933.0,13.21,9,0,34653.08,1.48,0.21,3.78,0.49,11590.07,6817.36,27.63,5288.0,86,21,8172444.0,1.86,2798.759433
4,14,6,21.959999,12874,7535.0,5089.0,4.65,3,2152,34570.38,0.14,0.25,3.64,0.62,11117.56,6785.57,28.32,5848.0,96,27,13000754.0,1.11,5463.968098
3,1,6,-24.52,13700,7045.0,6405.0,315.66,1,0,30117.77,0.61,0.33,5.06,0.46,13564.11,6970.37,30.88,5022.0,97,44,12433952.0,1.58,1843.103448
13,15,11,-35.84,10647,5514.0,4807.0,7.55,18,9655,34811.38,0.84,0.19,5.38,0.58,12578.92,7054.73,27.96,3346.0,93,14,4894790.0,1.27,508.9421901
2,2,11,-23.110001,14589,7366.0,6646.0,37.15,3,0,34661.95,1.88,0.21,5.75,0.8,11413.49,7009.28,28.77,4110.0,80,19,7663205.0,1.45,1744.470647
3,5,6,-30.52,15669,7033.0,8411.0,7.43,17,0,31568.71,1.25,0.34,3.94,1.85,12399.56,6497.98,29.78,4443.0,74,43,21520860.0,1.13,3146.950423
10,2,6,-29.75,18314,6722.0,11613.0,26.27,5,277,27288.09,1.58,0.2,6.42,0.52,11801.52,6991.71,28.23,5501.0,94,51,23130026.0,1.96,2112.703768
15,19,9,-75.949997,11707,5846.0,5666.0,11.83,5,4108,33045.51,0.06,0.34,4.61,0.73,13172.87,6895.53,30.78,4401.0,81,22,9032087.0,0.93,616.3775066
10,11,11,-41.349998,9700,6317.0,3124.0,4.68,21,8105,33069.47,0.4,0.33,4.8,0.62,13278.1,7125.15,31.3,4189.0,70,15,6597559.0,1.16,451.9080888
12,19,10,-55.849998,12560,5810.0,6309.0,16.72,23,8416,34723.19,0.5,0.33,4.83,0.56,13280.73,7014.03,31.04,4362.0,82,28,7654300.0,0.86,869.0764801
9,11,9,-30.030001,15575,9050.0,6229.0,13.07,21,10586,32939.52,0.89,0.28,4.24,0.68,11800.98,7090.25,31.75,4965.485373781148,71,33,4929437.0,1.02,640.2543161
7,11,11,-8.0699997,14144,8637.0,4625.0,14.22,7,5799,33543.38,0.36,0.25,4.63,0.62,11834.59,7094.11,31.09,5871.0,68,24,2742635.0,1.09,2887.753959
10,11,11,-33.905735419037036,11723,6447.0,4587.0,142.57,6,10244,34770.84,0.63,0.34,5.15,0.4,13588.36,6953.62,30.83,4186.0,69,23,9096222.0,1.13,853.7593013
16,4,8,-46.709999,16580,7924.0,7670.0,20.14,9,0,34603.7,0.17,0.33,4.72,0.78,12929.02,7001.5,31.21,5629.0,98,36,10211621.0,0.97,2205.197627
10,4,7,-39.529999,16584,7751.0,8583.0,37.94,29,17012,34634.34,1.35,0.21,5.11,0.62,12712.86,7072.03,29.62,6056.0,100,28,10067031.0,1.3,1383.727159
1,5,6,-30.91,15789,6422.0,9045.0,110.16,3,4477,33261.49,1.29,0.34,3.87,1.89,12377.37,6502.8,29.8,4192.0,70,46,18537600.0,1.1,3026.233432
9,22,6,-44.220001,14361,5652.0,8459.0,19.62,11,1561,31078.71,0.52,0.34,4.44,0.27,13487.18,6854.06,30.59,4419.0,95,54,19765446.0,1.08,1903.9369
5,8,8,-51.439999,17530,7216.0,10107.0,208.1,1,0,35185.42,0.51,0.33,4.78,0.57,13333.03,7015.97,31.05,4672.0,90,54,17751614.0,1.13,2756.671721
5,8,12,-32.619999,12725,7463.0,4806.0,0.56,9,4056,34808.3,1.24,0.32,4.85,0.96,12586.4,7454.69,32.84,5495.0,97,17,6612626.0,1.04,1131.588838
1,5,7,-40.09,15286,6441.0,8306.0,173.02,1,4004,34656.74,0.48,0.33,4.65,0.58,13183.12,7057.25,31.21,3165.0,78,41,20911024.0,1.14,3004.785693
3,1,6,-50.709999,12927,6546.0,5961.0,1.35,3,0,34551.73,0.5,0.33,4.74,0.6,13270.21,7043.91,31.14,4867.0,89,29,11639140.0,1.47,2922.828868
2,2,13,-10.67,10965,5778.0,4711.0,2.14,16,5181,34897.14,1.18,0.2,6.46,0.45,12136.41,6999.37,27.91,4535.0,82,13,4828227.0,1.23,1243.10183
8,23,13,-28.91,12517,5926.0,5747.0,19.82,6,0,35313.77,0.36,0.33,4.71,0.59,13260.93,6994.61,31.03,4427.0,80,16,6631582.0,1.34,886.1946214
13,24,11,-14.81,13900,5778.0,6938.0,3.59,9,4149,34246.32,0.18,0.33,4.64,0.67,13309.81,6919.51,30.8,4177.0,79,22,7722081.0,1.27,1396.648404
12,2,13,-18.629999,12593,8178.0,4133.0,15.13,19,9516,35039.02,0.32,0.34,4.68,0.62,13231.58,6984.64,31.02,6209.0,73,12,4256000.0,1.32,1255.634139
10,4,9,-33.905735419037036,13706,7912.0,5323.0,9.21,3,0,34636.68,0.2,0.34,4.66,0.64,13231.59,6940.83,30.89,5122.0,98,34,8670784.0,0.91,2084.029287
5,11,8,-6.4899998,13048,8599.0,4199.0,22.0,16,0,34735.75,0.86,0.32,5.58,0.78,12524.46,7092.89,32.43,5123.0,71,19,3321123.0,1.6,650.6824319
12,25,7,-33.905735419037036,17884,8688.0,8946.0,41.38,12,8492,34732.74,1.72,0.26,4.01,0.65,11551.76,6842.7,28.15,5191.0,81,52,23007504.0,1.32,2437.073421
